Body Angle,Head Angle,Distance,Signal Strength
81,40,0,3289
82,40,0,3276
83,40,0,3278
84,40,0,3281
85,40,0,3290
86,40,0,3281
87,40,0,3288
88,40,0,3282
89,40,0,3276
90,40,0,3275
91,40,0,3286
92,40,0,3275
93,40,0,3294
94,40,0,3282
95,40,0,3281
96,40,0,3278
97,40,0,3279
98,40,0,3278
99,40,0,3283
100,40,0,3279
101,40,0,3286
102,40,0,3282
103,40,0,3293
104,40,0,3291
105,40,0,3285
106,40,0,3286
107,40,0,3285
108,40,0,3287
109,40,0,3289
110,40,0,3289
111,40,0,3292
112,40,0,3292
113,40,0,3287
114,40,0,3299
115,40,0,3292
116,40,0,3295
117,40,0,3295
118,40,0,3292
119,40,0,3295
120,40,0,3291
121,40,0,3298
122,40,0,3277
123,40,0,3281
124,40,0,3290
125,40,0,3290
126,40,0,3285
127,40,0,3296
128,40,0,3291
129,40,0,3295
130,40,0,3290
131,40,0,3295
132,40,0,3292
133,40,0,3298
134,40,0,3295
135,40,0,3284
136,40,0,3284
137,40,0,3288
138,40,0,3284
139,40,0,3295
140,40,0,3289
141,40,0,3296
142,40,0,3291
143,40,0,3293
144,40,0,3290
145,40,0,3290
146,40,0,3290
147,40,0,3288
148,40,0,3281
149,40,0,3285
150,40,0,3288
151,40,0,3286
152,40,0,3283
153,40,0,3284
154,40,0,3287
155,40,0,3281
156,40,0,3273
157,40,0,3288
158,40,0,3284
159,40,0,3285
160,40,0,3289
161,40,0,3287
162,40,0,3283
163,40,0,3298
164,40,0,3289
165,40,0,3292
166,40,0,3285
167,40,0,3281
168,40,0,3280
169,40,0,3287
170,40,0,3284
171,40,0,3288
172,40,0,3299
173,40,0,3287
174,40,0,3291
175,40,0,3295
176,40,0,3291
177,40,0,3289
178,40,0,3299
179,40,0,3298
180,40,0,3295
180,50,0,3293
179,50,0,3292
178,50,0,3292
177,50,0,3289
176,50,0,3292
175,50,0,3295
174,50,0,3293
173,50,0,3296
172,50,0,3297
171,50,0,3289
170,50,0,3288
169,50,0,3290
168,50,0,3290
167,50,0,3299
166,50,0,3299
165,50,0,3289
164,50,0,3296
163,50,0,3294
162,50,0,3298
161,50,0,3284
